"Benchmark","# Threads","L2 Size","L2 Replacement Policy","L2 Size+L2 Replacement Policy","Min NVM Partition Size","Max NVM Partition Size","Min:Max NVM Partition Size","L2 Miss Rate","# Cycles","Committed Insts","Simulation Time","IPC","# Near Memory Pages","# Far Memory Pages","Near:Far Memory Page Ratio","system.perPhaseNearFarMemoryBwRatioHist.mean","system.perPhaseNearFarMemoryBwRatioHist.stdev"
"464.h264ref","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.006563","360714011","100000001","86.09","0.2772279366769593","3204","845","3.791715976331361","5.0","5.0"
"464.h264ref","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.000057","360435177","100000001","88.27","0.27744240124487074","3204","845","3.791715976331361","2.0","1.0"
"470.lbm","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.605400","806739259","100000000","93.10","0.12395578730599499","83958","20979","4.002002002002002","4.0","0.0"
"470.lbm","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.605194","806638939","100000000","92.75","0.12397120342835322","83958","20979","4.002002002002002","4.0","0.0"
"470.lbm","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.605190","806635721","100000000","93.07","0.12397169800021787","83958","20979","4.002002002002002","4.0","0.0"
"471.omnetpp","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.833409","376553958","100000000","82.30","0.26556619011823","4549","1148","3.9625435540069684","4.0","0.0"
"471.omnetpp","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.036067","309139864","100000000","81.63","0.3234781781491629","4549","1148","3.9625435540069684","4.0","2.0"
"471.omnetpp","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.034729","309027128","100000000","79.36","0.32359618602804346","4549","1148","3.9625435540069684","4.0","2.0"
"473.astar","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.075152","363907834","100000001","85.65","0.2747948564360942","33257","8356","3.980014360938248","4.0","1.0"
"473.astar","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.055020","362660576","100000001","85.00","0.2757399276837855","33257","8356","3.980014360938248","5.0","2.0"
"473.astar","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.055000","362659498","100000001","85.37","0.2757407473166469","33257","8356","3.980014360938248","4.0","2.0"
"482.sphinx3","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.048897","361729789","100000000","89.95","0.27644944663376897","1904","502","3.7928286852589643","4.0","2.0"
"482.sphinx3","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.048733","361725983","100000000","90.73","0.2764523553731002","1904","502","3.7928286852589643","5.0","2.0"
"482.sphinx3","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.048728","361725885","100000000","95.06","0.2764524302705072","1904","502","3.7928286852589643","8.0","8.0"
